name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 45F5,FARR,1991,46.5,36.4,13.5,7.7,21500,8500,950,,SLOOP,19.73,199,26.3,1.88,1.14,3.44,0.11672,8.08,3.1,4.79,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 47.7,FARR,1995,47.6,41.4,14.8,7.7,25353,8377,1046,"FIN KEEL, SPADE RUDDER",SLOOP,19.47,160,25.0,1.95,1.13,3.22,0.14007,8.62,3.0,4.43,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU IDDYLLE 15.5,FRERS,1960,50.8,38.8,14.7,6.0,33500,13000,1020,FIN KEEL,SLOOP,15.77,256,34.1,1.76,1.04,3.46,0.08218,8.35,3.9,5.77,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 321,FINOT,1990,32.6,29.5,11.2,4.2,9700,3274,505,,SLOOP,17.82,169,19.7,2.03,1.12,2.91,0.16560,7.28,2.3,3.90,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 351,BERRET,1962,35.0,31.1,12.5,5.0,12000,3750,526,MONO FIN SPADE,SLOOP,16.11,178,19.9,2.11,1.08,2.80,0.19185,7.47,2.3,3.69,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 352,BERRET,1971,35.0,31.1,12.5,5.0,12000,3750,525,,SLOOP,16.08,178,19.9,2.11,1.08,2.80,0.19185,7.47,2.3,3.69,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 36CC,BERRET,1966,35.4,31.2,12.5,5.2,13382,4155,551,,SLOOP,15.70,197,22.0,2.04,1.07,2.83,0.16238,7.48,2.5,4.01,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 37,BRIAND,1978,35.8,31.6,12.4,5.1,13248,4078,530,,SLOOP,15.20,187,21.8,2.03,1.06,2.89,0.16067,7.53,2.5,4.03,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 381,BERRET,1985,38.6,32.9,12.9,5.3,14991,4740,750,FIN KEEL,SLOOP,19.81,188,22.2,2.02,1.15,2.99,0.15645,7.69,2.6,4.11,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 390,BRIAND,1998,38.2,33.3,12.8,5.4,14332,5182,616,,SLOOP,16.76,173,21.4,2.04,1.09,2.98,0.16751,7.73,2.5,3.97,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 40,FINOT,1970,41.0,36.7,12.7,5.5,18740,5300,670,,SLOOP,15.25,169,25.8,1.85,1.05,3.23,0.11514,8.12,3.0,4.78,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 400,FINOT,1960,39.7,34.9,12.9,5.5,16000,5600,670,,SLOOP,16.95,168,22.6,1.98,1.09,3.08,0.15645,7.92,2.6,4.11,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 44 CC,FARR/BRIANT,1999,44.6,36.8,14.0,5.8,20944,6835,832,MONO WING SPADE,SLOOP,17.59,188,24.6,1.97,1.09,3.19,0.13973,8.13,2.9,4.40,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU OCEANIS 461,FARR,1973,45.9,39.1,13.9,5.8,20944,7496,907,,SLOOP,19.17,156,23.6,1.95,1.13,3.30,0.14853,8.38,2.8,4.26,,,,,,,,,,,,,,,,,,,,,,,,
Benford 131,BENFORD,1985,131.0,98.5,24.7,12.3,228750,66000,5812,,,25.00,107,45.7,1.56,1.15,5.30,0.06230,13.30,6.1,6.96,,,,,,,,,,,,,,,,,,,,,,,,
BENFORD 39,BENFORD,1969,39.0,31.0,12.0,6.0,18750,6500,765,,SLOOP,17.41,281,31.7,1.75,1.09,3.25,0.07419,7.46,3.6,5.90,,,,,,,,,,,,,,,,,,,,,,,,
BENNET 48,S&S,1969,48.0,39.3,14.3,6.3,32000,12000,1154,,CUTTER,18.39,235,34.1,1.74,1.10,3.36,0.07937,8.40,3.9,5.85,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT 46,BENNETT,1982,45.5,37.4,13.9,8.0,21700,9000,945,,SLOOP,19.51,185,25.3,1.93,1.13,3.27,0.12938,8.19,3.0,4.57,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT 46 MARK II,MAREK,1974,47.0,39.2,13.7,7.5,23400,0,945,FIN + BULB,SLOOP,18.55,173,26.7,1.85,1.11,3.43,0.11163,8.39,3.2,4.91,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT 48 AFT COCKPIT,S&S,1965,48.2,38.8,14.0,6.5,32000,12000,1403,,,22.36,245,35.4,1.71,1.17,3.44,0.06991,8.35,4.1,6.22,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT 48 MIDSHIP COCKPIT,S&S,1991,48.0,39.0,14.3,6.2,34000,12000,0,,,0.00,256,36.5,1.71,0.00,3.36,0.07181,8.37,4.1,6.15,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT 55,MAREK,1998,55.3,48.4,16.5,7.0,40000,13500,1212,BILGE KEELS,,16.65,157,29.3,1.87,1.06,3.35,0.11773,9.32,3.5,4.89,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT 67,MAREK,1997,67.6,57.0,18.6,7.2,54000,21000,1650,BILGE KEELS,,18.56,130,28.3,1.90,1.08,3.63,0.13604,10.12,3.5,4.61,,,,,,,,,,,,,,,,,,,,,,,,
BEQUIAN DOUBLE ENDER,TRADITIONAL,1990,14.4,13.8,4.7,1.8,1640,,455,,GUNTHER,52.46,279,23.0,1.54,1.69,3.06,0.02687,4.98,2.6,6.81,,,,,,,,,,,,,,,,,,,,,,,,
"BERMUDA 40, HINCKLEY",TRIPP,1971,40.8,27.9,11.7,4.4,20000,5500,735,"FULL KEEL, CB",YAWL,16.02,411,36.8,1.67,1.06,3.49,0.05269,7.08,4.2,6.97,,,,,,,,,,,,,,,,,,,,,,,,
BERMUDA SERIES 76,PAINE,1964,76.0,68.1,19.7,8.6,107600,36000,2584,FIN,KETCH,18.37,152,44.6,1.60,1.06,3.86,0.06351,11.06,5.3,6.78,,,,,,,,,,,,,,,,,,,,,,,,
BISCAYNE BAY 14,HERRESHOFF,1986,14.4,13.0,5.0,2.0,1000,200,122,,SLOOP,19.56,203,13.5,1.93,1.24,2.88,0.08346,4.83,1.6,4.06,,,,,,,,,,,,,,,,,,,,,,,,
BLACK SEA 40,BAKER,1995,40.0,37.6,12.5,9.0,8000,2500,1220,ALONE AROUND WORLD,SLOOP,48.96,67,11.2,2.42,1.58,3.20,0.45106,8.22,1.5,2.41,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK ISLAND 40,TRIPP,1960,40.6,29.1,11.9,4.1,20000,7800,738,CB,YAWL,16.09,362,35.1,1.70,1.06,3.41,0.05942,7.23,4.0,6.58,,,,,,,,,,,,,,,,,,,,,,,,
BLUE PETER,DEVLIN,1992,30.2,24.7,9.2,4.6,10900,4200,468,FULL KEEL,,15.28,323,33.3,1.61,1.06,3.28,0.04838,6.66,3.7,6.92,,,,,,,,,,,,,,,,,,,,,,,,
BLUEBIRD OF THORNE,ROBB,1961,50.0,40.0,12.1,5.3,33600,11000,950,"TWIN KEEL, STEEL HULL","KETCH, CUTTER",14.66,234,43.6,1.45,1.02,4.13,0.03595,8.47,5.2,8.48,,,,,,,,,,,,,,,,,,,,,,,,
BLUEWATER 52,PAINE,1971,51.8,44.6,15.0,6.5,33400,0,1173,FULL KEEL,,18.17,168,30.0,1.80,1.09,3.45,0.10465,8.95,3.5,5.13,,,,,,,,,,,,,,,,,,,,,,,,
BLUEWATER 60, ,1993,60.0,53.5,16.3,7.5,50200,20080,1679,,KETCH,19.83,146,34.0,1.71,1.11,3.68,0.08452,9.80,4.1,5.76,,,,,,,,,,,,,,,,,,,,,,,,
BORDEAUX 76,PHILIPPE BRIAND,1960,75.7,60.1,19.9,8.1,83600,32120,2335,,SLOOP,19.63,172,37.2,1.76,1.09,3.80,0.08916,10.39,4.5,5.72,,,,,,,,,,,,,,,,,,,,,,,,
BORKUMRIFF,HUISMAN,1976,144.0,98.5,28.5,13.1,496032,138888,9693,,SCHOONER,24.90,232,79.0,1.39,1.12,5.05,0.02956,13.30,9.6,10.20,,,,,,,,,,,,,,,,,,,,,,,,
BOUGAINVILLA 53,PAINE,1974,53.4,47.0,14.1,6.0,35500,12500,1209,FIN + BULB,SLOOP,17.98,153,33.1,1.66,1.09,3.79,0.07411,9.19,4.0,6.04,,,,,,,,,,,,,,,,,,,,,,,,
BOUGAINVILLEA 60,PAINE,2000,60.0,56.0,15.5,6.8,47000,20000,1394,,SLOOP,17.20,119,33.0,1.66,1.06,3.87,0.07944,10.03,4.1,5.91,,,,,,,,,,,,,,,,,,,,,,,,
BOUGAINVILLEA 62,PAINE,1991,62.0,56.0,15.5,6.9,55000,,1416,FIN,SLOOP,15.74,140,38.2,1.58,1.03,4.00,0.06045,10.03,4.7,6.77,,,,,,,,,,,,,,,,,,,,,,,,
BOWMAN 42,PAINE,1993,42.4,32.2,12.6,6.5,19500,6900,779,MONO,CUTTER,17.27,261,29.3,1.81,1.09,3.37,0.08872,7.60,3.4,5.44,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 46,BOWMAN,1996,45.7,31.9,12.9,7.0,23500,9400,815,,,15.96,323,33.4,1.74,1.06,3.54,0.06953,7.57,3.9,6.16,,,,,,,,,,,,,,,,,,,,,,,,
Bowman 57,BOWMAN,1987,57.4,44.6,14.7,7.0,42000,17200,1314,,,17.48,211,37.4,1.64,1.07,3.90,0.06172,8.95,4.5,6.66,,,,,,,,,,,,,,,,,,,,,,,,
BRAVURA 35,BEILEY,1971,34.0,28.7,11.3,7.8,6000,2500,850,FIN + BULB,SLOOP,41.31,113,12.1,2.41,1.51,3.01,0.39408,7.18,1.5,2.53,,,,,,,,,,,,,,,,,,,,,,,,
BRAVURA SPORTSTER 29,BEILEY,1994,29.1,24.0,9.5,6.3,4000,1800,537,FIN + BULB,SLOOP,34.19,129,12.1,2.31,1.43,3.06,0.30862,6.56,1.5,2.76,,,,,,,,,,,,,,,,,,,,,,,,
BREHERET 45,CHAUVEAU,1993,42.0,33.0,13.0,6.0,26500,6700,860,LONG KEEL STEEL,KETCH,15.54,329,37.7,1.69,1.04,3.23,0.06056,7.70,4.2,6.61,,,,,,,,,,,,,,,,,,,,,,,,
BREMER 25,BREMER,1985,25.0,22.5,8.0,6.3/2.5,3800,1600,308,,SLOOP,20.29,149,15.8,1.98,1.20,3.13,0.14796,6.36,1.9,3.81,,,,,,,,,,,,,,,,,,,,,,,,
BREWER 44,BREWER,1964,44.0,35.0,13.5,4.5,29000,12000,867,,SLOOP,14.76,302,37.1,1.70,1.02,3.26,0.06673,7.93,4.1,6.33,,,,,,,,,,,,,,,,,,,,,,,,
BREWER AHQUABI,BREWER,1963,45.0,38.0,13.9,5.9,39000,12000,1153,,CUTTER,16.11,317,45.2,1.59,1.04,3.24,0.04850,8.26,4.9,7.46,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGES POINT 24,WHITE,1973,24.0,18.7,7.5,3.4,3944,,278,FULL KEEL,FRACTIONAL SLOOP,17.87,269,20.5,1.84,1.15,3.20,0.08346,5.79,2.4,4.97,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 19,ALBERG,1987,19.5,14.5,6.5,2.8,2724,1100,186,FULL KEEL,SLOOP,15.30,399,21.7,1.80,1.11,3.00,0.05982,5.10,2.5,5.56,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 24,,1995,24.6,18.1,8.0,3.4,5920,3000,296,,SLOOP,14.52,446,28.6,1.71,1.06,3.08,0.05216,5.70,3.2,6.42,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 30,HERRESHOFF,1981,30.0,22.7,9.2,4.5,8400,3450,402,FULL KEEL,SLOOP,15.62,321,27.1,1.75,1.08,3.26,0.06892,6.38,3.1,5.80,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 31.1,,1970,31.1,24.8,10.2,4.3,11200,4500,474,CB,SLOOP,15.20,328,29.4,1.76,1.06,3.05,0.07063,6.67,3.3,5.86,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 32,HOOD,1982,32.1,22.0,9.4,4.7,11300,4000,491,FULL KEEL,SLOOP,15.65,474,35.3,1.62,1.07,3.41,0.04273,6.29,4.0,7.40,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 34,HERRESHOFF,1993,34.3,26.0,10.4,5.0,11500,4715,529,FULL KEEL,SLOOP,16.67,292,27.6,1.78,1.09,3.30,0.07720,6.83,3.2,5.63,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 35,ALDEN,1962,34.7,23.8,10.0,5.0,12500,5200,531,FULL KEEL,SLOOP,15.83,414,33.2,1.67,1.07,3.47,0.05179,6.54,3.8,6.82,,,,,,,,,,,,,,,,,,,,,,,,
Bristol 3800,,1990,38.3,30.6,12.1,4.5,19200,9000,766,,,17.16,299,32.6,1.75,1.09,3.17,0.07101,7.41,3.7,6.04,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 40,HOOD,1974,40.1,27.5,10.8,5.4,17580,6500,694,FULL KEEL,SLOOP,16.49,377,36.5,1.61,1.08,3.71,0.04724,7.03,4.2,7.25,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 41.1,,1973,41.1,33.3,13.0,,26530,10500,830,FIN,SLOOP,14.99,321,37.8,1.69,1.03,3.16,0.06056,7.73,4.2,6.61,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 45.5,HOOD,1992,45.3,37.3,13.3,,34660,13170,1125,FIN,SLOOP,17.00,298,43.0,1.58,1.07,3.41,0.04776,8.18,4.8,7.47,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 53.3,EMPACHER,1994,53.3,42.0,15.1,5.7,49313,19500,1400,FIN CENTERBOARD,KETCH,16.73,297,45.2,1.59,1.05,3.53,0.04970,8.68,5.1,7.45,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL 56.5,EMPACHER,1961,56.5,45.7,15.5,5.3,54000,20500,1500,FIN CENTERBOARD,KETCH,16.87,253,44.3,1.59,1.05,3.65,0.05134,9.06,5.1,7.35,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL CHANNEL CUTTER,HESS,1994,37.7,26.3,10.1,4.9,14000,4800,575,,CUTTER,15.90,344,33.5,1.62,1.07,3.73,0.04987,6.87,3.9,6.96,,,,,,,,,,,,,,,,,,,,,,,,
"BROOKSFIELD, WHITBREAD",PETIT,1989,62.9,60.0,17.0,12.0,29762,,4487,,SLOOP,75.06,62,17.4,2.12,1.76,3.70,0.28272,10.38,2.3,3.17,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Roberts NY 65,ROBERTS,1979,55.7,50.8,16.6,,65000,0,1420,,,14.12,221,45.6,1.60,0.99,3.36,0.05586,9.55,5.1,7.10,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKMANN CUSTOM 42,ELLIS,1993,42.1,32.5,12.7,5.5,22000,,850,FIN,SLOOP,17.39,286,32.6,1.75,1.09,3.31,0.07569,7.64,3.7,5.89,,,,,,,,,,,,,,,,,,,,,,,,
BT CHALLENGER,BLYTH,1991,67.0,55.0,17.3,9.5,76000,24000,1932,,CUTTER,17.31,204,45.0,1.58,1.05,3.87,0.05438,9.94,5.3,7.23,,,,,,,,,,,,,,,,,,,,,,,,
BUCCANEER 295,PETERSON,1974,29.3,24.5,10.3,4.0,6800,2850,381,"FIN KEEL, IOR",SLOOP,17.04,206,18.1,2.10,1.12,2.84,0.17684,6.63,2.1,3.71,,,,,,,,,,,,,,,,,,,,,,,,
BUCCANEER 305,GARDEN,1980,30.0,26.3,10.2,5.6,10000,3500,462,"LONG KEEL, SKEG RUDDER",SLOOP,15.98,245,25.6,1.83,1.08,2.94,0.09146,6.87,2.9,5.15,,,,,,,,,,,,,,,,,,,,,,,,
BUTTON,BUEHLER,1964,35.0,33.3,11.3,5.5,28700,,878,FULL KEEL,GAFF CUTTER,15.05,347,51.9,1.43,1.03,3.10,0.02931,7.73,5.5,9.28,,,,,,,,,,,,,,,,,,,,,,,,
C&C 110 EXPRESS,JACKETT,1986,36.4,31.5,12.0,7.3,10900,4200,705,"FIN, SPADE",SLOOP,23.02,156,18.7,2.09,1.22,3.03,0.19865,7.52,2.2,3.60,,,,,,,,,,,,,,,,,,,,,,,,
C&C 121,C&C,1977,40.0,35.5,13.1,8.0,14100,5500,846,FIN KEEL,SLOOP,23.28,141,19.2,2.10,1.22,3.05,0.20397,7.98,2.3,3.61,,,,,,,,,,,,,,,,,,,,,,,,
C&C 29,C&C,1963,28.5,22.3,9.4,5.3,6700,2700,395,FIN,SLOOP,17.84,270,21.7,1.93,1.14,3.03,0.10939,6.33,2.5,4.63,,,,,,,,,,,,,,,,,,,,,,,,
C&C 30,C&C,1994,30.0,25.8,10.8,5.8,8275,3150,466,,SLOOP,18.28,215,19.9,2.07,1.14,2.78,0.15752,6.81,2.3,3.97,,,,,,,,,,,,,,,,,,,,,,,,
C&C 37/40,C&C,1987,39.5,31.9,12.6,7.2,16000,6300,777,FIN,SLOOP,19.65,220,24.8,1.93,1.14,3.13,0.12195,7.57,2.9,4.64,,,,,,,,,,,,,,,,,,,,,,,,
C&C 40,BALL,1963,39.7,31.3,12.3,7.0,17800,7900,743,FIN KEEL,SLOOP,17.50,259,28.8,1.82,1.10,3.23,0.09123,7.50,3.3,5.34,,,,,,,,,,,,,,,,,,,,,,,,
C&C 51,BALL,1991,51.6,43.9,15.6,5.9,33900,15800,1343,CB,SLOOP,20.60,179,29.2,1.87,1.14,3.31,0.11644,8.88,3.4,4.88,,,,,,,,,,,,,,,,,,,,,,,,
C&C 52,C&C,1983,51.7,43.9,15.7,6.0,37400,15300,1170,,SLOOP,16.81,197,31.9,1.82,1.06,3.29,0.09910,8.88,3.7,5.30,,,,,,,,,,,,,,,,,,,,,,,,
C&C 99,,1998,32.5,28.4,10.8,5.8,8800,,558,FIN KEEL,SLOOP,21.01,172,19.3,2.02,1.19,3.01,0.15752,7.14,2.3,3.97,,,,,,,,,,,,,,,,,,,,,,,,
C&C 99,C&C,1982,33.5,29.1,10.8,6.0,9265,3200,562,FIN / BULB,SLOOP,20.45,168,19.8,1.99,1.18,3.10,0.14466,7.23,2.4,4.14,,,,,,,,,,,,,,,,,,,,,,,,
C&C LANDFALL 38,C&C,1962,37.6,30.2,12.0,4.9,16700,6500,649,,SLOOP,15.95,271,29.1,1.82,1.07,3.13,0.08829,7.36,3.3,5.41,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 34,CREALOCK,1963,34.0,26.8,11.0,4.9,15500,5800,588,,CUTTER,15.19,359,33.9,1.71,1.05,3.09,0.06243,6.94,3.7,6.33,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 36,CREALOCK,1987,38.6,26.9,11.0,4.9,17100,5900,654,FULL KEEL,CUTTER,15.82,392,35.6,1.65,1.06,3.51,0.05084,6.95,4.1,7.01,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 38,CREALOCK,1964,41.0,29.2,11.5,5.0,21000,7800,788,,CUTTER,16.63,377,38.3,1.61,1.07,3.57,0.04690,7.24,4.4,7.36,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 38 PILOT HOUSE,CREALOCK,1988,41.0,29.2,11.5,5.1,22500,8300,763,,CUTTER,15.38,403,41.1,1.58,1.04,3.57,0.04291,7.24,4.6,7.70,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 40,PAINE,1983,43.0,32.2,12.7,5.3,25290,11250,909,FULL KEEL,CUTTER,16.95,338,37.4,1.67,1.08,3.39,0.05874,7.60,4.2,6.69,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 42,PAINE,1980,44.5,32.0,12.7,5.3,26900,10400,931,LONG KEEL,CUTTER,16.66,366,39.4,1.64,1.07,3.50,0.05117,7.58,4.5,7.17,,,,,,,,,,,,,,,,,,,,,,,,
CABO RICO 45,CREALOCK,1969,45.0,35.0,13.1,6.0,35600,13500,1103,,KETCH,16.38,371,47.1,1.54,1.05,3.44,0.03990,7.93,5.2,8.15,,,,,,,,,,,,,,,,,,,,,,,,
CAL 20,LAPWORTH,1989,20.0,18.0,7.0,3.4,1950,900,196,FIXED KEEL,SLOOP,20.14,149,12.1,2.17,1.22,2.86,0.18992,5.69,1.5,3.22,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2-29,LAPWORTH,1970,29.0,24.0,9.3,4.5,8000,3350,424,FULL KEEL,SLOOP,17.01,258,24.9,1.80,1.11,3.12,0.08003,6.56,2.9,5.40,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2-46,LAPWORTH,1987,45.5,37.5,12.5,5.0,30000,8000,744,FIN,SLOOP,12.38,254,40.2,1.56,0.96,3.64,0.04796,8.21,4.6,7.38,,,,,,,,,,,,,,,,,,,,,,,,
CAL 25,LAPWORTH,1983,25.0,20.0,8.0,4.0,4000,1700,285,FIN KEEL,SLOOP,18.15,223,18.0,1.95,1.16,3.13,0.12112,5.99,2.1,4.21,,,,,,,,,,,,,,,,,,,,,,,,
CAL 33,LAPWORTH,1992,33.0,27.5,11.3,,10800,4475,553,FIN,SLOOP,18.17,232,22.7,1.98,1.13,2.92,0.13117,7.03,2.6,4.39,,,,,,,,,,,,,,,,,,,,,,,,
CAL 39,LAPWORTH,1997,39.0,31.7,12.6,7.0,17500,7000,750,,SLOOP,17.87,245,27.3,1.88,1.11,3.10,0.10672,7.54,3.1,4.96,,,,,,,,,,,,,,,,,,,,,,,,
CAL 40,LAPWORTH,1975,39.3,31.1,10.9,5.5,17362,6000,702,LONG FIN KEEL,SLOOP,16.81,258,33.2,1.63,1.08,3.61,0.05549,7.47,3.9,6.70,,,,,,,,,,,,,,,,,,,,,,,,
Cal 48,,1973,47.8,35.0,12.0,6.5,25000,9500,1040,,,19.54,260,36.3,1.59,1.13,3.98,0.04966,7.93,4.4,7.21,,,,,,,,,,,,,,,,,,,,,,,,
Cal 50,,1970,50.0,42.5,14.8,7.3,35000,11000,1164,,,17.48,204,33.4,1.75,1.08,3.38,0.08288,8.74,3.9,5.75,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 30 LRC,McCREARY,1973,32.5,25.5,10.9,4.1,11000,4000,427,,SLOOP,13.86,296,25.6,1.90,1.03,2.98,0.10035,6.77,2.9,4.98,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 35,McCREARY,1975,35.8,29.8,11.4,4.5,13100,6100,563,,SLOOP,16.27,221,25.1,1.87,1.08,3.14,0.10670,7.31,2.9,4.87,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 35 LRC,McCREARY,1983,35.7,29.9,11.3,4.5,13100,6100,563,,CUTTER,16.27,219,25.3,1.85,1.08,3.16,0.10543,7.33,2.9,4.90,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 38,McCREARY,1987,38.0,32.0,12.7,5.0,22000,9500,700,,SLOOP,14.32,300,34.1,1.75,1.02,2.99,0.07569,7.58,3.7,5.89,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 40,McCREARY,1980,42.5,39.5,12.7,5.0,21600,9500,739,,SLOOP,15.30,156,28.0,1.76,1.04,3.35,0.09516,8.42,3.3,5.25,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 40 LRC,McCREARY,1997,39.5,32.5,12.8,5.1,21600,9500,739,,CUTTER,15.30,281,32.4,1.78,1.04,3.09,0.08078,7.64,3.6,5.71,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 47,McCREARY,1969,46.9,36.1,13.2,5.3,29000,12000,900,,SLOOP,15.32,275,36.7,1.66,1.04,3.55,0.06177,8.05,4.2,6.56,,,,,,,,,,,,,,,,,,,,,,,,
CALIBER 47 LRC,McCREARY,1975,52.9,39.5,13.1,5.2,33000,13000,1014,,CUTTER,15.84,239,38.1,1.58,1.04,4.04,0.05099,8.42,4.6,7.21,,,,,,,,,,,,,,,,,,,,,,,,
CALLIOPE 339,TUCKER,1961,33.8,26.5,11.4,5.5,20010,7469,532,,SLOOP,11.59,480,42.2,1.62,0.95,2.96,0.04635,6.90,4.4,7.39,,,,,,,,,,,,,,,,,,,,,,,,
CAMBRIA 40,WALTERS,1996,41.4,32.5,12.2,7.5,22200,9500,801,,CUTTER,16.29,289,34.9,1.68,1.06,3.39,0.06143,7.64,4.0,6.50,,,,,,,,,,,,,,,,,,,,,,,,
CAMBRIA 44-46,WALTERS,1967,45.9,37.2,13.4,5.9,29400,12300,943,,SLOOP,15.90,255,36.0,1.68,1.05,3.43,0.06609,8.17,4.1,6.36,,,,,,,,,,,,,,,,,,,,,,,,
CAMBRIA 52,TRIPP,1992,52.5,45.8,15.1,6.5,28000,10500,1434,,SLOOP,24.98,130,24.4,1.92,1.22,3.48,0.14363,9.07,3.0,4.38,,,,,,,,,,,,,,,,,,,,,,,,
Campenella,,1992,50.5,38.3,13.8,6.8,34500,12800,1261,,,19.12,274,38.6,1.64,1.11,3.66,0.05698,8.29,4.5,6.87,,,,,,,,,,,,,,,,,,,,,,,,
CAPE COD H-26,HERRESHOFF,1986,26.3,22.2,9.0,3.9,6500,3000,360,,SLOOP,16.59,265,23.0,1.87,1.11,2.92,0.09482,6.31,2.6,4.92,,,,,,,,,,,,,,,,,,,,,,,,
CAPE DORY 25,,1982,24.8,18.0,7.3,2.5,3850,1500,228,FULL KEEL,SLOOP,14.89,295,21.0,1.80,1.09,3.40,0.07350,5.69,2.5,5.25,,,,,,,,,,,,,,,,,,,,,,,,
CAPE DORY 28,ALBERG,1984,28.2,22.2,8.9,4.0,9000,3500,404,FULL KEEL,SLOOP,14.99,367,31.5,1.66,1.06,3.17,0.05145,6.31,3.5,6.66,,,,,,,,,,,,,,,,,,,,,,,,
CAPE DORY 30,ALBERG,1978,30.2,22.9,9.0,4.2,10000,4000,437,FULL KEEL,SLOOP,15.11,372,33.0,1.62,1.06,3.36,0.04682,6.41,3.7,7.00,,,,,,,,,,,,,,,,,,,,,,,,
CAPE DORY 30 MKII,DENT,1994,30.5,24.2,10.5,4.6,10500,4200,495,FIN,SLOOP,16.57,331,27.1,1.86,1.09,2.90,0.08902,6.59,3.0,5.25,,,,,,,,,,,,,,,,,,,,,,,,
CAPE DORY 33,ALBERG,1979,33.1,24.5,10.3,4.9,13300,5500,546,FULL KEEL,SLOOP,15.62,404,34.0,1.68,1.07,3.21,0.05401,6.63,3.8,6.72,,,,,,,,,,,,,,,,,,,,,,,,
CAPE DORY 36,ALBERG,1993,36.1,27.0,10.8,5.0,16100,6050,622,FULL KEEL,CUTTER,15.67,365,35.2,1.65,1.06,3.34,0.05208,6.96,4.0,6.91,,,,,,,,,,,,,,,,,,,,,,,,
CAPRI 18,BUTLER,1972,18.0,17.0,7.5,2.0,1500,450,155,CB,CAT,18.97,136,9.1,2.53,1.21,2.40,0.39730,5.52,1.1,2.28,,,,,,,,,,,,,,,,,,,,,,,,
CAPRI 22,BUTLER,1995,22.0,20.0,8.0,4.0,2250,700,250,,SLOOP,23.35,126,10.6,2.36,1.28,2.75,0.31606,5.99,1.3,2.61,,,,,,,,,,,,,,,,,,,,,,,,
CAPRI 26,BUTLER,1969,26.1,22.9,9.9,4.8,5200,1900,295,,SLOOP,15.77,193,15.9,2.21,1.10,2.64,0.22751,6.41,1.8,3.25,,,,,,,,,,,,,,,,,,,,,,,,
