id,Resistance,Comfort,LWL,BWL
692,4851.75,0.32,10.68,2.6
693,4198.42,0.26,11.0,3.0
694,4198.42,0.26,11.0,3.0
695,4227.3,0.31,10.97,2.62
696,4227.3,0.31,10.97,2.62
697,4196.7,0.26,11.0,2.99
698,4196.7,0.26,11.0,2.99
699,4198.42,0.26,11.0,3.0
700,4198.42,0.26,11.0,3.0
701,4851.75,0.32,10.68,2.6
702,4851.75,0.32,10.68,2.6
703,4169.53,0.31,11.0,2.64
704,4169.53,0.31,11.0,2.64
705,5712.27,0.32,8.15,3.0
706,5712.27,0.32,8.15,3.0
707,4286.73,0.33,10.93,2.53
708,4286.73,0.33,10.93,2.53
709,5524.9,0.38,8.06,2.64
710,5524.9,0.38,8.06,2.64
711,5424.02,0.38,8.0,2.64
712,5424.02,0.38,8.0,2.64
713,4286.73,0.33,10.93,2.53
714,4286.73,0.33,10.93,2.53
715,4286.73,0.33,10.93,2.53
716,4286.73,0.33,10.93,2.53
717,4196.69,0.33,10.98,2.53
718,4196.69,0.33,10.98,2.53
719,4196.69,0.33,10.98,2.53
720,4196.69,0.33,10.98,2.53
721,4220.2,0.32,10.97,2.54
722,4220.2,0.32,10.97,2.54
723,5424.02,0.38,8.0,2.64
724,5424.02,0.38,8.0,2.64
725,4198.33,0.26,11.0,2.98
726,4198.33,0.26,11.0,2.98
727,4286.98,0.33,10.93,2.53
728,4286.98,0.33,10.93,2.53
729,4196.45,0.26,11.0,2.98
730,4196.45,0.26,11.0,2.98
731,4286.73,0.33,10.93,2.53
